No.,NAMA USAHA,JENIS,BARANG UNGGULAN,ALAMAT,NAMA PEMILIK,No. TLP,Media Promosi,LONGITUDE,LATITUDE,JENIS WILAYAH BANGUNAN
33,TB. PUTRA MANDIRI,TK BNGN,,JL. SADANG SUCINARAJA,CEP IHSAN P,0896 1225 4400,-,107.9287283,-7.2031244,TOKO BANGUNAN WILAYAH UTARA
34,TB. ASAKO,TK BNGN,,JL. SADANG SUCINARAJA,UCU BUNYAMIN,0821 2657 3469,-,107.9725576,-7.1857651,TOKO BANGUNAN WILAYAH UTARA
35,TB. SUGIH I,TK BNGN,,CIBULAKAN KARANG TENGAH,AI HODIJAH,0852 2375 5600,-,108.0148745,-7.1563627,TOKO BANGUNAN WILAYAH UTARA
36,TB. DIMAS,TK BNGN,,CIBULAKAN KARANG TENGAH,,0853 5332 014,-,108.0374135,-7.1582005,TOKO BANGUNAN WILAYAH UTARA
37,TB. SUGIH II,TK BNGN,,KP. DEPOK SUKAWENING,,0823 1637 7050,-,108.0092333,-7.1547951,TOKO BANGUNAN WILAYAH UTARA
38,TB. LAKSANA,TK BNGN,,KP. CIKANCUNG SUKAWENING,AHMAD,0852 8282 9292,-,108.0056684,-7.1604861,TOKO BANGUNAN WILAYAH UTARA
39,TB. ANGKASA,TK BNGN,,PANGATIKAN,,0812 2079 7970,-,107.9962881,-7.1616164,TOKO BANGUNAN WILAYAH UTARA
40,TB. BERKAH ABADI JAYA,TK BNGN,,CIMARAGAS PANGATIKAN,,0812 2475 3736,-,,,TOKO BANGUNAN WILAYAH UTARA
41,TB. SUMBER MULYA,TK BNGN,,CIHUNI CIBATU,,0853 2021 0695,-,107.989105,-7.1622231,TOKO BANGUNAN WILAYAH UTARA
42,TB. BIDURI LOGAM,TK BNGN,,CIBATU,IMAS SAADAH,0853 2066 6990,-,107.9812429,-7.0994755,TOKO BANGUNAN WILAYAH UTARA
43,TB. SARANA HIKMAH,TK BNGN,,Kp. MARGALUYU CIBATU,Hj. DEWI,0853 2327 7999,-,107.9860163,-7.1031933,TOKO BANGUNAN WILAYAH UTARA
44,TB. MANDIRI BANGUN JAYA,TK BNGN,,Kp.KERESEK CIBATU,H. ENDANG,0877 1474 133,-,107.9679915,-7.1031449,TOKO BANGUNAN WILAYAH UTARA
45,TB. ESA JAYA,TK BNGN,,Kp. PADASUKA CIBATU,UJANG,0812 2005 3597,-,107.9876164,-7.0918732,TOKO BANGUNAN WILAYAH UTARA
46,TB. BUDI JAYA PUTRA,TK BNGN,,JL. RAYA WANARAJA,H. MOHAMAD,0853 2098 1110,-,107.9757439,-7.1792966,TOKO BANGUNAN WILAYAH UTARA
47,TB. ADE SURYA,TK BNGN,,JL. RAYA MALANGBONG,Hj. SITI DJUBAEDAH,0813 2100 2922,-,108.0824259,-7.0616971,TOKO BANGUNAN WILAYAH UTARA
48,TB. SUBUR JAYA,TK BNGN,,CISITU MALANGBONG,JAJANG SUPRI,0853 2384  0200,-,108.0853649,-7.0504652,TOKO BANGUNAN WILAYAH UTARA
49,TB. MEKAR MAKMUR,TK BNGN,,PANGKALAN MALANGBONG,H. OKE,0813 1283 9999,-,108.061274,-7.0560814,TOKO BANGUNAN WILAYAH UTARA
50,TB. RPS,TK BNGN,,LEWO MALANGBONG,AGUNG,0852 1266 7101,-,108.0085118,-7.054134,TOKO BANGUNAN WILAYAH UTARA
51,TB. SURYA JAYA MANDIRI,TK BNGN,,LEWO MALANGBONG,JEJE ARIF,0813 9440 3607,-,108.0409509,-7.0526427,TOKO BANGUNAN WILAYAH UTARA
52,PD. CAHAYA SELATAN,TK. KAYU,BHN. KAYU,PANANJUNG TAROGONG KALER,ADI ROSADI,0857 9330 4272,-,107.8460777,-7.1757477,"TOKO/SUPLIER BAHAN KAYU, BESI, PAVING DLL"
